AgenteMEM,CapInstOC,Clasific,Email,FuentePri,Nombre,Provincia,Ptotal12me ,StartYear,Website
AES Andrés,"319,00",Ciclo Combinado,infoaesdominicana@aes.com,Gas Natural,AES Andrés,Santo Domingo,"1.639,44",2003,www.aesdominicana.com
IC POWER DR OPERATIONS,"55,25",Eólica,N/D,Viento,Agua Clara,Monte Cristi,"166,94",2019,N/D
EGEHID,"60,00",Hidroeléctrica Embalse,info@hidroelectrica.gov.do,Agua,Aguacate,Peravia,"203,11",1992,www.egehid.com.do
EGEHID,"0,60",Hidroeléctrica Pasada,info@hidroelectrica.gov.do,Agua,Aniana Vargas (Yuboa),Monseñor Nouel,"1,31",2003,www.egehid.com.do
EGEHID,"1,20",Hidroeléctrica Pasada,info@hidroelectrica.gov.do,Agua,Baiguaque,Santiago,"1,23",1995,www.egehid.com.do
EGE HAINA,"52,00",Turbo Vapor (Ciclo Rankine),contacto@egehaina.com,Carbón Mineral,Barahona Carbón,Barahona,"137,08",2001,www.egehaina.com
PARQUE EOLICO BEATA,"50,00",Fotovoltaica,,Sol,Bayasol,Peravia,"104,30",2021,
MONTERIO,"25,20",Motores de Combustión Interna,N/D,Fuel Oil,BERSAL,San Pedro de Macorís,"14,02",2014,N/D
EGEHID,"2,90",Hidroeléctrica Pasada,info@hidroelectrica.gov.do,Agua,Brazo Derecho,Valverde,"5,74",2014,www.egehid.com.do
Emerald Solar,"25,00",Fotovoltaica,,Sol,Canoa,Barahona,"57,31",2019,
CEPP,"18,70",Motores de Combustión Interna,info@cepp.com.do,Fuel Oil,CEPP 1,Puerto Plata,"0,00",1991,www.cepp.com.do
CEPP,"58,10",Motores de Combustión Interna,info@cepp.com.do,Fuel Oil,CEPP 2,Puerto Plata,"0,00",1994,www.cepp.com.do
CESPM,"100,00",Ciclo Combinado,N/D,Diesel,CESPM 1,San Pedro de Macorís,"425,03",2001,www.cespm.com.do
CESPM,"100,00",Ciclo Combinado,N/D,Diesel,CESPM 2,San Pedro de Macorís,"665,88",2001,www.cespm.com.do
CESPM,"100,00",Ciclo Combinado,N/D,Diesel,CESPM 3,San Pedro de Macorís,"670,41",2003,www.cespm.com.do
EGEHID,"4,00",Hidroeléctrica Pasada,info@hidroelectrica.gov.do,Agua,Domingo Rodríguez,San Juan,"12,46",2005,www.egehid.com.do
EGEHID,"0,70",Hidroeléctrica Pasada,info@hidroelectrica.gov.do,Agua,El Salto,La Vega,"1,20",1995,www.egehid.com.do
"KOROR BUSINESS, S.R.L.","0,00",Fotovoltaica,,Sol,El Soco,San Pedro de Macorís,"70,20",2022,
SEABOARD,"108,00",Motores de Combustión Interna,N/D,Gas Natural,Estrella de Mar II,Distrito Nacional,"349,39",2000,www.seaboardpower.com
SEABOARD,"0,00",Ciclo Combinado,N/D,Gas Natural,Estrella de Mar III,Distrito Nacional,"982,24",2021,www.seaboardpower.com
EGE HAINA,"0,00",Fotovoltaica,contacto@egehaina.com,Sol,Girasol,San Cristóbal,"224,59",2021,www.egehaina.com
Parques Eólicos del Caribe,"55,25",Eólica,N/D,Viento,Guanillo,Monte Cristi,"192,05",2019,N/D
EGE HAINA,"100,00",Turbo Gas (Ciclo Brayton),contacto@egehaina.com,Diesel,HAINA TG,San Cristóbal,"26,07",1998,www.egehaina.com
EGEHID,"18,70",Hidroeléctrica Embalse,info@hidroelectrica.gov.do,Agua,Hatillo 1 y 2,Sánchez Ramírez,"82,32",1984,www.egehid.com.do
MONTERIO,"14,20",Motores de Combustión Interna,N/D,Fuel Oil,INCA KM22,Santo Domingo,"5,30",2012,N/D
EGE ITABO,"128,00",Turbo Vapor (Ciclo Rankine),infoaesdominicana@aes.com,Carbón Mineral,ITABO 1,San Cristóbal,"783,63",1984,www.aesdominicana.com
EGE ITABO,"132,00",Turbo Vapor (Ciclo Rankine),infoaesdominicana@aes.com,Carbón Mineral,ITABO 2,San Cristóbal,"849,35",1988,www.aesdominicana.com
EGEHID,"98,00",Hidroeléctrica Embalse,info@hidroelectrica.gov.do,Agua,Jiguey,San José de Ocoa,"174,49",1992,www.egehid.com.do
EGEHID,"8,40",Hidroeléctrica Embalse,info@hidroelectrica.gov.do,Agua,Jimenoa,La Vega,"44,78",1954,www.egehid.com.do
GENERADORA PALAMARA LA VEGA,"92,00",Motores de Combustión Interna,N/D,Fuel Oil,La Vega,La Vega,"421,78",2000,www.gasnaturalfenosa.com.do
EGE HAINA,"49,50",Eólica,contacto@egehaina.com,Viento,Larimar I,Barahona,"200,70",2016,www.egehaina.com
EGE HAINA,"48,30",Eólica,contacto@egehaina.com,Viento,Larimar II,Barahona,"144,04",2018,www.egehaina.com
EGEHID,"0,90",Hidroeléctrica Pasada,info@hidroelectrica.gov.do,Agua,Las Barias,Peravia,"3,67",2009,www.egehid.com.do
EGEHID,"7,50",Hidroeléctrica Embalse,info@hidroelectrica.gov.do,Agua,Las Damas,Independencia,"6,77",1967,www.egehid.com.do
EGEHID,"18,40",Hidroeléctrica Embalse,info@hidroelectrica.gov.do,Agua,López Angostura,Santiago,"52,67",1987,www.egehid.com.do
EGEHID,"0,10",Hidroeléctrica Pasada,info@hidroelectrica.gov.do,Agua,Los Anones,Peravia,"0,00",1998,www.egehid.com.do
EGE HAINA,"25,20",Eólica,contacto@egehaina.com,Viento,Los Cocos I,Pedernales,"0,00",2012,www.egehaina.com
EGE HAINA,"52,00",Eólica,contacto@egehaina.com,Viento,Los Cocos II,Barahona,"0,00",2012,www.egehaina.com
Poseidon Energía,"50,00",Eólica,,Viento,Los Guzmancito,Puerto Plata,"168,31",2019,
Poseidon Energía,"50,00",Eólica,,Viento,Los Guzmancito II,Puerto Plata,"21,38",2022,
DOMINICAN POWER PARTNERS,"118,00",Turbo Gas (Ciclo Brayton),infoaesdominicana@aes.com,Gas Natural,Los Mina 5,Santo Domingo,"593,86",1996,www.aesdominicana.com
DOMINICAN POWER PARTNERS,"118,00",Turbo Gas (Ciclo Brayton),infoaesdominicana@aes.com,Gas Natural,Los Mina 6,Santo Domingo,"616,33",1996,www.aesdominicana.com
DOMINICAN POWER PARTNERS,"123,30",Turbo Vapor (Ciclo Rankine),infoaesdominicana@aes.com,Gas Natural,Los Mina 7,Santo Domingo,"586,66",2017,www.aesdominicana.com
LOS ORIGENES,"60,70",Motores de Combustión Interna,N/D,Gas Natural & Fuel Oil,Los Orígenes,San Pedro de Macorís,"172,53",2012,N/D
EGEHID,"9,80",Hidroeléctrica Pasada,info@hidroelectrica.gov.do,Agua,Los Toros,Azua,"31,12",2001,www.egehid.com.do
EGEHID,"3,00",Hidroeléctrica Pasada,info@hidroelectrica.gov.do,Agua,Magueyal,Azua,"1,14",2008,www.egehid.com.do
WCG Energy,"50,00",Fotovoltaica,,Sol,Mata de Palma,Santo Domingo,"97,63",2019,
Grupo Eólico Dominicano,"35,70",Eólica,N/D,Viento,Matafongo,Peravia,"115,43",2019,N/D
COMPLEJO METALURGICO DOMINICANO,"42,00",Motores de Combustión Interna,N/D,Fuel Oil,Metaldom,Distrito Nacional,"58,74",2004,www.gerdaumetaldom.com
EGEHID,"55,20",Hidroeléctrica Embalse,info@hidroelectrica.gov.do,Agua,Monción,Santiago Rodríguez,"129,44",2002,www.egehid.com.do
ELECTRONIC JRC,"30,00",Fotovoltaica,N/D,Sol,Monte Plata Solar,Monte Plata,"45,85",2016,N/D
PVDC,"100,10",Motores de Combustión Interna,N/D,Fuel Oil,Monte Río,Azua,"416,46",2003,N/D
MONTECRISTI SOLAR FV,"58,00",Fotovoltaica,N/D,Sol,Montecristi Solar,Monte Cristi,"103,12",2018,N/D
